

-0.604502	-1.028939	0.006431
-0.652630	-0.980525	-0.023040
-0.542612	-1.047424	-0.023192

-0.698356	-0.929056	-0.051128
-0.589615	-0.997132	-0.052381
-0.652630	-0.980525	-0.023040

-0.479137	-1.062357	-0.051431
-0.542612	-1.047424	-0.023192
-0.589615	-0.997132	-0.052381

-0.652630	-0.980525	-0.023040
-0.589615	-0.997132	-0.052381
-0.542612	-1.047424	-0.023192

-0.789125	-0.825384	-0.106905
-0.681037	-0.893832	-0.109397
-0.744998	-0.878715	-0.079749

-0.571426	-0.959861	-0.109009
-0.635752	-0.945853	-0.081215
-0.681037	-0.893832	-0.109397

-0.698356	-0.929056	-0.051128
-0.744998	-0.878715	-0.079749
-0.635752	-0.945853	-0.081215

-0.681037	-0.893832	-0.109397
-0.635752	-0.945853	-0.081215
-0.744998	-0.878715	-0.079749

-0.351857	-1.091273	-0.107509
-0.416232	-1.078627	-0.080203
-0.462368	-1.026797	-0.109701

-0.479137	-1.062357	-0.051431
-0.526126	-1.012513	-0.081367
-0.416232	-1.078627	-0.080203

-0.571426	-0.959861	-0.109009
-0.462368	-1.026797	-0.109701
-0.526126	-1.012513	-0.081367

-0.416232	-1.078627	-0.080203
-0.526126	-1.012513	-0.081367
-0.462368	-1.026797	-0.109701

-0.698356	-0.929056	-0.051128
-0.635752	-0.945853	-0.081215
-0.589615	-0.997132	-0.052381

-0.571426	-0.959861	-0.109009
-0.526126	-1.012513	-0.081367
-0.635752	-0.945853	-0.081215

-0.479137	-1.062357	-0.051431
-0.589615	-0.997132	-0.052381
-0.526126	-1.012513	-0.081367

-0.635752	-0.945853	-0.081215
-0.526126	-1.012513	-0.081367
-0.589615	-0.997132	-0.052381

-0.888903	-0.552492	-0.169678
-0.791417	-0.619611	-0.184227
-0.867111	-0.622262	-0.155942

-0.692687	-0.685591	-0.195147
-0.767702	-0.688505	-0.169252
-0.791417	-0.619611	-0.184227

-0.841425	-0.690163	-0.139786
-0.867111	-0.622262	-0.155942
-0.767702	-0.688505	-0.169252

-0.791417	-0.619611	-0.184227
-0.767702	-0.688505	-0.169252
-0.867111	-0.622262	-0.155942

-0.494956	-0.817230	-0.216075
-0.569478	-0.820559	-0.191612
-0.594409	-0.752003	-0.207429

-0.642815	-0.822318	-0.163652
-0.668380	-0.754595	-0.181187
-0.569478	-0.820559	-0.191612

